brand,category_name,currency,n_reviews,pid,price,rating,title,url
Unbranded,Audio & Hifi,euro,17,9300000174719290,81.95,3.6,Carplay Scherm - Touchscreen - Navigatiesysteem Auto - Voor Apple & Android - Universeel - Carplay Draadloos - Multimedia Autoradio - 10 Inch - PRO VERSIE,/nl/nl/p/carplay-scherm-touchscreen-navigatiesysteem-auto-voor-apple-android-universeel-carplay-draadloos-multimedia-autoradio-10-inch-pro-versie/9300000174719290/
Klipsch,Audio & Hifi,euro,3,9200000097687569,299.00,5.0,Klipsch R-41PM POWERED SPEAKERS/Set,/nl/nl/p/klipsch-r-41pm-actieve-boekenplank-speakers-zwart/9200000097687569/
JBL,Audio & Hifi,euro,536,9200000108639206,99.00,4.6,JBL Flip 5 Zwart - Draagbare Bluetooth Speaker,/nl/nl/p/jbl-flip-5-zwart-draagbare-bluetooth-speaker/9200000108639206/
Wegman,Audio & Hifi,euro,1330,9300000001023970,24.95,4.7,Wegman Bluetooth FM Transmitter - Autolader - Carkit - Oplader,/nl/nl/p/wegman-bluetooth-fm-transmitter-autolader-bluetooth-carkit/9300000001023970/
JBL,Audio & Hifi,euro,446,9300000155640894,58.00,3.8,JBL Tune 235NC TWS - Volledig Draadloze Oordopjes Met Noise Cancelling,/nl/nl/p/jbl-tune-235nc-tws-volledig-draadloze-oordopjes-met-noise-cancelling/9300000155640894/
Apple,Audio & Hifi,euro,2007,9200000108340791,130.00,4.6,Apple AirPods 2 - met reguliere oplaadcase,/nl/nl/p/apple-airpods-2-incl-charging-case-white-mv7n2zm-a/9200000108340791/
Apple,Audio & Hifi,euro,329,9300000161136600,246.00,4.4,Apple AirPods Pro 2 - met MagSafe oplaadcase (USB-C),/nl/nl/p/mqd83am-a-airpods-pro/9300000161136600/
JBL,Audio & Hifi,euro,142,9300000020209238,60.00,4.4,JBL Tune 660NC Zwart - Draadloze on-ear Noise Cancelling koptelefoon,/nl/nl/p/jbl-tune-660nc-zwart-draadloze-on-ear-noise-cancelling-koptelefoon/9300000020209238/
JBL,Audio & Hifi,euro,485,9300000025109728,38.00,4.4,JBL Tune 510BT - Draadloze on-ear koptelefoon - Zwart,/nl/nl/p/jbl-tune-510bt-draadloze-on-ear-koptelefoon-zwart/9300000025109728/
Apple,Audio & Hifi,euro,227,9300000123041487,179.00,4.2,Apple AirPods 3 - met reguliere oplaadcase,/nl/nl/p/apple-airpods-3-met-reguliere-oplaadcase/9300000123041487/
